Year,Semester,Section,A,B,C,D,F,AtoF,GPA,I,S,U,Q,X,Total,Instructor
2021,Spring,CHEN-460-500,24,17,6,0,0,47,3.382,0,0,0,2,0,49,HALIM S
2021,Spring,CHEN-461-500,18,21,11,1,0,51,3.098,0,0,0,3,0,54,KRAVARIS C
2021,Spring,CHEN-461-501,18,9,0,0,0,27,3.666,0,0,0,1,0,28,REEVES G
2021,Spring,CHEN-475-500,7,8,2,0,0,17,3.294,0,0,0,1,0,18,KUO Y
2021,Spring,CHEN-481-501,19,2,0,0,0,21,3.904,0,0,0,0,0,21,AYDOGMUS T
2021,Spring,CHEN-481-502,17,3,0,0,0,20,3.85,0,0,0,0,0,20,AYDOGMUS T
2021,Spring,CHEN-481-503,19,0,0,0,0,19,4,0,0,0,0,0,19,RODDEN J
2021,Spring,CHEN-481-504,12,0,0,0,0,12,4,0,0,0,0,0,12,WHITE J
2021,Spring,CHEN-481-505,21,1,0,0,0,22,3.954,0,0,0,0,0,22,RODDEN J
2021,Spring,CHEN-481-506,22,0,0,0,0,22,4,0,0,0,0,0,22,HILALY A
2021,Spring,CHEN-482-200,2,3,0,0,0,5,3.4,0,0,0,0,0,5,HILALY A
2021,Spring,CHEN-482-500,15,25,4,0,0,44,3.25,0,0,0,1,0,45,HILALY A
2021,Spring,CHEN-482-501,18,22,3,1,0,44,3.295,0,0,0,2,0,46,SUN Q
2021,Spring,CHEN-489-501,6,1,0,0,0,7,3.857,0,0,0,0,0,7,ZHU X
2021,Spring,CHEN-489-503,7,0,0,0,0,7,4,0,0,0,0,0,7,MASHUGA C
2021,Spring,CHEN-491-500,7,0,0,0,0,7,4,0,0,0,0,0,7,HOLTZAPPLE M
2021,Spring,CHEN-601-600,30,2,1,0,0,33,3.878,0,0,0,0,0,33,BLIZZARD G
2021,Spring,CHEN-624-600,26,13,8,2,0,49,3.285,0,0,0,0,3,52,TSEREGOUNIS S
2021,Spring,CHEN-629-600,27,16,3,0,0,46,3.521,0,0,0,7,0,53,ELABD Y
2021,Spring,CHEN-641-600,17,0,0,0,0,17,4,0,0,0,0,0,17,SENTMANAT M
2021,Spring,CHEN-656-600,11,11,0,0,0,22,3.5,0,0,0,4,0,26,PISTIKOPOULOS E
2021,Spring,CHEN-660-600,6,0,0,0,0,6,4,0,0,0,0,0,6,HALIM S
2021,Spring,CHEN-675-600,4,1,0,0,0,5,3.8,0,0,0,0,0,5,KUO Y
2021,Spring,CHEN-689-601,5,0,0,0,0,5,4,0,0,0,0,0,5,ZHU X
2021,Spring,CHEN-689-604,16,1,0,0,0,17,3.941,0,0,0,0,0,17,WANG Q
2021,Spring,SENG-312-500,82,11,0,0,0,93,3.881,0,0,0,1,0,94,BEHIE S
2021,Spring,SENG-422-500,5,2,0,0,1,8,3.25,0,0,0,0,0,8,MOATS J
2021,Spring,SENG-455-700,7,6,3,0,0,16,3.25,0,0,0,4,0,20,MASHUGA C
2021,Spring,SENG-460-500,5,5,4,0,0,14,3.071,0,0,0,0,0,14,HALIM S
2021,Spring,SENG-660-600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,HALIM S
2021,Spring,SENG-677-600,5,3,0,0,0,8,3.625,0,0,0,0,0,8,MOATS J
2021,Spring,SENG-677-700,4,0,1,0,0,5,3.6,0,0,0,0,0,5,MOATS J
2021,Spring,CVEN-207-900,20,4,0,0,0,24,3.833,0,0,0,0,0,24,APPLETON R
2021,Spring,CVEN-207-901,18,4,0,0,0,22,3.818,0,0,0,0,0,22,APPLETON R
2021,Spring,CVEN-207-902,17,0,0,1,0,18,3.833,0,0,0,0,0,18,APPLETON R
2021,Spring,CVEN-207-903,14,0,0,0,0,14,4,0,0,0,0,0,14,APPLETON R
2021,Spring,CVEN-221-501,13,28,9,0,0,50,3.08,1,0,0,0,0,51,LOWERY L
2021,Spring,CVEN-221-502,6,17,8,5,1,37,2.594,0,0,0,16,0,53,BARROSO L
2021,Spring,CVEN-250-501,16,7,0,0,0,23,3.695,0,0,0,1,0,24,HUTCHINSON R
2021,Spring,CVEN-250-502,15,3,5,1,0,24,3.333,0,0,0,0,0,24,HUTCHINSON R
2021,Spring,CVEN-250-503,20,6,1,1,1,29,3.482,0,0,0,1,0,30,LYLE S
2021,Spring,CVEN-250-504,10,6,2,0,0,18,3.444,0,0,0,2,0,20,HUTCHINSON R
2021,Spring,CVEN-301-501,25,19,4,1,0,49,3.387,0,0,0,1,0,50,MA X
2021,Spring,CVEN-301-502,11,15,7,1,1,35,2.971,0,0,0,2,0,37,MCKAY G
2021,Spring,CVEN-302-501,28,39,12,0,0,79,3.202,0,0,0,1,0,80,GHARAIBEH N
2021,Spring,CVEN-302-502,57,15,6,1,0,79,3.62,0,0,0,2,0,81,YING Q
2021,Spring,CVEN-302-503,11,18,13,3,0,45,2.822,0,0,0,4,0,49,QUADRIFOGLIO L
2021,Spring,CVEN-303-201,5,1,0,0,0,6,3.833,0,0,0,0,0,6,GHARAIBEH N
2021,Spring,CVEN-303-501,6,3,0,1,0,10,3.4,0,0,0,0,0,10,GHARAIBEH N
